Datetime,Temprature,day_of_year,day_of_month,day_of_week,hour,kWh
2021-03-01 00:00:00,2,60,1,0,0,540
2021-03-01 01:00:00,2,60,1,0,1,510
2021-03-01 02:00:00,2,60,1,0,2,590
2021-03-01 03:00:00,2,60,1,0,3,490
2021-03-01 04:00:00,2,60,1,0,4,500
2021-03-01 05:00:00,2,60,1,0,5,480
2021-03-01 06:00:00,2,60,1,0,6,690
2021-03-01 07:00:00,2,60,1,0,7,550
2021-03-01 08:00:00,2,60,1,0,8,610
2021-03-01 09:00:00,2,60,1,0,9,870
2021-03-01 10:00:00,2,60,1,0,10,780
2021-03-01 11:00:00,2,60,1,0,11,820
2021-03-01 12:00:00,2,60,1,0,12,820
2021-03-01 13:00:00,2,60,1,0,13,630
2021-03-01 14:00:00,2,60,1,0,14,530
2021-03-01 15:00:00,2,60,1,0,15,560
2021-03-01 16:00:00,2,60,1,0,16,750
2021-03-01 17:00:00,2,60,1,0,17,750
2021-03-01 18:00:00,2,60,1,0,18,780
2021-03-01 19:00:00,2,60,1,0,19,1100
2021-03-01 20:00:00,2,60,1,0,20,700
2021-03-01 21:00:00,2,60,1,0,21,760
2021-03-01 22:00:00,2,60,1,0,22,770
2021-03-01 23:00:00,2,60,1,0,23,600
2021-03-02 00:00:00,2,61,2,1,0,460
2021-03-02 01:00:00,2,61,2,1,1,480
2021-03-02 02:00:00,2,61,2,1,2,510
2021-03-02 03:00:00,2,61,2,1,3,470
2021-03-02 04:00:00,2,61,2,1,4,450
2021-03-02 05:00:00,2,61,2,1,5,480
2021-03-02 06:00:00,2,61,2,1,6,1790
2021-03-02 07:00:00,2,61,2,1,7,1110
2021-03-02 08:00:00,2,61,2,1,8,1130
2021-03-02 09:00:00,2,61,2,1,9,930
2021-03-02 10:00:00,2,61,2,1,10,1000
2021-03-02 11:00:00,2,61,2,1,11,670
2021-03-02 12:00:00,2,61,2,1,12,610
2021-03-02 13:00:00,2,61,2,1,13,820
2021-03-02 14:00:00,2,61,2,1,14,560
2021-03-02 15:00:00,2,61,2,1,15,530
2021-03-02 16:00:00,2,61,2,1,16,820
2021-03-02 17:00:00,2,61,2,1,17,1940
2021-03-02 18:00:00,2,61,2,1,18,740
2021-03-02 19:00:00,2,61,2,1,19,930
2021-03-02 20:00:00,2,61,2,1,20,690
2021-03-02 21:00:00,2,61,2,1,21,850
2021-03-02 22:00:00,2,61,2,1,22,720
2021-03-02 23:00:00,2,61,2,1,23,520
2021-03-03 00:00:00,2,62,3,2,0,580
2021-03-03 01:00:00,2,62,3,2,1,1660
2021-03-03 02:00:00,2,62,3,2,2,2090
2021-03-03 03:00:00,2,62,3,2,3,2060
2021-03-03 04:00:00,2,62,3,2,4,2120
2021-03-03 05:00:00,2,62,3,2,5,1090
2021-03-03 06:00:00,2,62,3,2,6,890
2021-03-03 07:00:00,2,62,3,2,7,700
2021-03-03 08:00:00,2,62,3,2,8,590
2021-03-03 09:00:00,2,62,3,2,9,490
2021-03-03 10:00:00,2,62,3,2,10,620
2021-03-03 11:00:00,2,62,3,2,11,460
2021-03-03 12:00:00,2,62,3,2,12,500
2021-03-03 13:00:00,2,62,3,2,13,520
2021-03-03 14:00:00,2,62,3,2,14,550
2021-03-03 15:00:00,2,62,3,2,15,490
2021-03-03 16:00:00,2,62,3,2,16,490
2021-03-03 17:00:00,2,62,3,2,17,1690
2021-03-03 18:00:00,2,62,3,2,18,880
2021-03-03 19:00:00,2,62,3,2,19,730
2021-03-03 20:00:00,2,62,3,2,20,670
2021-03-03 21:00:00,2,62,3,2,21,640
